Municipios;Sexo;Periodo;Total
15070 Pontes de García Rodríguez, As;Total;2008;11.384
15070 Pontes de García Rodríguez, As;Total;2007;11.531
15070 Pontes de García Rodríguez, As;Total;2006;11.697
15070 Pontes de García Rodríguez, As;Total;2005;11.771
15070 Pontes de García Rodríguez, As;Total;2004;11.911
15070 Pontes de García Rodríguez, As;Total;2003;12.108
15070 Pontes de García Rodríguez, As;Total;2002;12.367
15070 Pontes de García Rodríguez, As;Total;2001;12.440
15070 Pontes de García Rodríguez, As;Total;2000;12.488
15070 Pontes de García Rodríguez, As;Total;1999;12.457
15070 Pontes de García Rodríguez, As;Total;1998;12.473
15071 Porto do Son;Total;2021;9.155
15071 Porto do Son;Total;2020;9.142
15071 Porto do Son;Total;2019;9.171
15071 Porto do Son;Total;2018;9.243
15071 Porto do Son;Total;2017;9.271
15071 Porto do Son;Total;2016;9.386
15071 Porto do Son;Total;2015;9.436
15071 Porto do Son;Total;2014;9.571
15071 Porto do Son;Total;2013;9.613
15071 Porto do Son;Total;2012;9.699
15071 Porto do Son;Total;2011;9.847
15071 Porto do Son;Total;2010;9.873
15071 Porto do Son;Total;2009;9.867
15071 Porto do Son;Total;2008;9.845
15071 Porto do Son;Total;2007;9.899
15071 Porto do Son;Total;2006;10.025
15071 Porto do Son;Total;2005;9.990
15071 Porto do Son;Total;2004;10.039
15071 Porto do Son;Total;2003;10.134
15071 Porto do Son;Total;2002;10.085
15071 Porto do Son;Total;2001;10.212
15071 Porto do Son;Total;2000;10.298
15071 Porto do Son;Total;1999;10.376
15071 Porto do Son;Total;1998;10.416
15072 Rianxo;Total;2021;11.004
15072 Rianxo;Total;2020;11.013
15072 Rianxo;Total;2019;11.033
15072 Rianxo;Total;2018;11.104
15072 Rianxo;Total;2017;11.188
15072 Rianxo;Total;2016;11.295
15072 Rianxo;Total;2015;11.386
15072 Rianxo;Total;2014;11.479
15072 Rianxo;Total;2013;11.598
15072 Rianxo;Total;2012;11.729
15072 Rianxo;Total;2011;11.780
15072 Rianxo;Total;2010;11.826
15072 Rianxo;Total;2009;11.769
15072 Rianxo;Total;2008;11.578
15072 Rianxo;Total;2007;11.554
15072 Rianxo;Total;2006;11.246
15072 Rianxo;Total;2005;11.528
15072 Rianxo;Total;2004;11.582
15072 Rianxo;Total;2003;11.629
15072 Rianxo;Total;2002;11.747
15072 Rianxo;Total;2001;11.780
15072 Rianxo;Total;2000;11.882
15072 Rianxo;Total;1999;12.147
15072 Rianxo;Total;1998;12.147
15073 Ribeira;Total;2021;26.839
15073 Ribeira;Total;2020;26.848
15073 Ribeira;Total;2019;26.886
15073 Ribeira;Total;2018;27.067
15073 Ribeira;Total;2017;27.159
15073 Ribeira;Total;2016;27.249
15073 Ribeira;Total;2015;27.372
15073 Ribeira;Total;2014;27.565
15073 Ribeira;Total;2013;27.811
15073 Ribeira;Total;2012;27.778
15073 Ribeira;Total;2011;27.699
15073 Ribeira;Total;2010;27.504
15073 Ribeira;Total;2009;27.518
15073 Ribeira;Total;2008;27.430
15073 Ribeira;Total;2007;27.181
15073 Ribeira;Total;2006;27.053
15073 Ribeira;Total;2005;26.884
15073 Ribeira;Total;2004;26.623
15073 Ribeira;Total;2003;26.589
15073 Ribeira;Total;2002;26.343
15073 Ribeira;Total;2001;26.434
15073 Ribeira;Total;2000;26.478
15073 Ribeira;Total;1999;26.451
15073 Ribeira;Total;1998;26.413
15074 Rois;Total;2021;4.493
15074 Rois;Total;2020;4.505
15074 Rois;Total;2019;4.512
15074 Rois;Total;2018;4.564
15074 Rois;Total;2017;4.627
15074 Rois;Total;2016;4.657
15074 Rois;Total;2015;4.710
15074 Rois;Total;2014;4.767
15074 Rois;Total;2013;4.818
15074 Rois;Total;2012;4.871
15074 Rois;Total;2011;4.910
15074 Rois;Total;2010;4.936
15074 Rois;Total;2009;4.995
15074 Rois;Total;2008;5.012
15074 Rois;Total;2007;5.034
15074 Rois;Total;2006;5.105
15074 Rois;Total;2005;5.149
15074 Rois;Total;2004;5.122
15074 Rois;Total;2003;5.137
15074 Rois;Total;2002;5.123
15074 Rois;Total;2001;5.180
15074 Rois;Total;2000;5.216
15074 Rois;Total;1999;5.238
15074 Rois;Total;1998;5.295
15075 Sada;Total;2021;16.382
15075 Sada;Total;2020;16.186
15075 Sada;Total;2019;15.841
15075 Sada;Total;2018;15.495
15075 Sada;Total;2017;15.242
15075 Sada;Total;2016;15.150
15075 Sada;Total;2015;15.080
15075 Sada;Total;2014;15.156
15075 Sada;Total;2013;15.075
15075 Sada;Total;2012;14.922
15075 Sada;Total;2011;14.870
15075 Sada;Total;2010;14.734
15075 Sada;Total;2009;14.487
15075 Sada;Total;2008;14.036
15075 Sada;Total;2007;13.606
15075 Sada;Total;2006;13.134
15075 Sada;Total;2005;12.867
15075 Sada;Total;2004;12.453
15075 Sada;Total;2003;11.963
15075 Sada;Total;2002;11.686
15075 Sada;Total;2001;11.351
15075 Sada;Total;2000;11.015
15075 Sada;Total;1999;10.621
15075 Sada;Total;1998;10.296
15076 San Sadurniño;Total;2021;2.812
15076 San Sadurniño;Total;2020;2.784
15076 San Sadurniño;Total;2019;2.822
15076 San Sadurniño;Total;2018;2.828
15076 San Sadurniño;Total;2017;2.877
15076 San Sadurniño;Total;2016;2.944
15076 San Sadurniño;Total;2015;3.009
15076 San Sadurniño;Total;2014;3.019
15076 San Sadurniño;Total;2013;3.020
15076 San Sadurniño;Total;2012;3.061
15076 San Sadurniño;Total;2011;3.099
15076 San Sadurniño;Total;2010;3.098
15076 San Sadurniño;Total;2009;3.119
15076 San Sadurniño;Total;2008;3.125
15076 San Sadurniño;Total;2007;3.123
15076 San Sadurniño;Total;2006;3.182
15076 San Sadurniño;Total;2005;3.179
15076 San Sadurniño;Total;2004;3.229
15076 San Sadurniño;Total;2003;3.272
15076 San Sadurniño;Total;2002;3.337
15076 San Sadurniño;Total;2001;3.389
15076 San Sadurniño;Total;2000;3.431
15076 San Sadurniño;Total;1999;3.487
15076 San Sadurniño;Total;1998;3.503
15077 Santa Comba;Total;2021;9.359
15077 Santa Comba;Total;2020;9.362
15077 Santa Comba;Total;2019;9.426
15077 Santa Comba;Total;2018;9.450
15077 Santa Comba;Total;2017;9.477
15077 Santa Comba;Total;2016;9.556
15077 Santa Comba;Total;2015;9.635
15077 Santa Comba;Total;2014;9.719
15077 Santa Comba;Total;2013;9.913
15077 Santa Comba;Total;2012;10.101
15077 Santa Comba;Total;2011;10.241
15077 Santa Comba;Total;2010;10.408
15077 Santa Comba;Total;2009;10.487
15077 Santa Comba;Total;2008;10.577
15077 Santa Comba;Total;2007;10.588
15077 Santa Comba;Total;2006;10.647
15077 Santa Comba;Total;2005;10.683
15077 Santa Comba;Total;2004;10.704
15077 Santa Comba;Total;2003;10.823
15077 Santa Comba;Total;2002;10.892
15077 Santa Comba;Total;2001;10.920
15077 Santa Comba;Total;2000;10.930
15077 Santa Comba;Total;1999;10.960
15077 Santa Comba;Total;1998;10.960
15078 Santiago de Compostela;Total;2021;97.858
15078 Santiago de Compostela;Total;2020;97.848
15078 Santiago de Compostela;Total;2019;97.260
15078 Santiago de Compostela;Total;2018;96.405
15078 Santiago de Compostela;Total;2017;96.456
15078 Santiago de Compostela;Total;2016;95.966
15078 Santiago de Compostela;Total;2015;95.612
15078 Santiago de Compostela;Total;2014;95.800
15078 Santiago de Compostela;Total;2013;96.041
15078 Santiago de Compostela;Total;2012;95.671
15078 Santiago de Compostela;Total;2011;95.207
15078 Santiago de Compostela;Total;2010;94.824
15078 Santiago de Compostela;Total;2009;95.092
15078 Santiago de Compostela;Total;2008;94.339
15078 Santiago de Compostela;Total;2007;93.712
15078 Santiago de Compostela;Total;2006;93.458
15078 Santiago de Compostela;Total;2005;92.919
15078 Santiago de Compostela;Total;2004;92.298
15078 Santiago de Compostela;Total;2003;92.339
15078 Santiago de Compostela;Total;2002;93.273
15078 Santiago de Compostela;Total;2001;93.381
15078 Santiago de Compostela;Total;2000;93.903
15078 Santiago de Compostela;Total;1999;93.745
15078 Santiago de Compostela;Total;1998;93.584
15079 Santiso;Total;2021;1.529
15079 Santiso;Total;2020;1.544
15079 Santiso;Total;2019;1.584
15079 Santiso;Total;2018;1.610
15079 Santiso;Total;2017;1.630
15079 Santiso;Total;2016;1.672
15079 Santiso;Total;2015;1.709
15079 Santiso;Total;2014;1.742
15079 Santiso;Total;2013;1.785
15079 Santiso;Total;2012;1.838
15079 Santiso;Total;2011;1.883
15079 Santiso;Total;2010;1.930
15079 Santiso;Total;2009;1.980
15079 Santiso;Total;2008;2.035
15079 Santiso;Total;2007;2.102
15079 Santiso;Total;2006;2.116
15079 Santiso;Total;2005;2.160
15079 Santiso;Total;2004;2.212
15079 Santiso;Total;2003;2.249
15079 Santiso;Total;2002;2.286
15079 Santiso;Total;2001;2.262
15079 Santiso;Total;2000;2.282
15079 Santiso;Total;1999;2.319
15079 Santiso;Total;1998;2.319
15080 Sobrado;Total;2021;1.778
15080 Sobrado;Total;2020;1.730
15080 Sobrado;Total;2019;1.758
15080 Sobrado;Total;2018;1.799
15080 Sobrado;Total;2017;1.847
15080 Sobrado;Total;2016;1.882
15080 Sobrado;Total;2015;1.911
15080 Sobrado;Total;2014;1.965
15080 Sobrado;Total;2013;2.016
15080 Sobrado;Total;2012;2.037
15080 Sobrado;Total;2011;2.087
15080 Sobrado;Total;2010;2.139
15080 Sobrado;Total;2009;2.168
15080 Sobrado;Total;2008;2.208
15080 Sobrado;Total;2007;2.244
15080 Sobrado;Total;2006;2.289
15080 Sobrado;Total;2005;2.316
15080 Sobrado;Total;2004;2.360
15080 Sobrado;Total;2003;2.400
15080 Sobrado;Total;2002;2.434
15080 Sobrado;Total;2001;2.468
15080 Sobrado;Total;2000;2.518
15080 Sobrado;Total;1999;2.541
15080 Sobrado;Total;1998;2.609
15081 Somozas, As;Total;2021;1.076
15081 Somozas, As;Total;2020;1.083
15081 Somozas, As;Total;2019;1.098
15081 Somozas, As;Total;2018;1.103
15081 Somozas, As;Total;2017;1.128
15081 Somozas, As;Total;2016;1.160
15081 Somozas, As;Total;2015;1.191
15081 Somozas, As;Total;2014;1.211
15081 Somozas, As;Total;2013;1.249
15081 Somozas, As;Total;2012;1.279
15081 Somozas, As;Total;2011;1.306
15081 Somozas, As;Total;2010;1.342
15081 Somozas, As;Total;2009;1.382
15081 Somozas, As;Total;2008;1.388
15081 Somozas, As;Total;2007;1.374
15081 Somozas, As;Total;2006;1.392
15081 Somozas, As;Total;2005;1.411
15081 Somozas, As;Total;2004;1.403
15081 Somozas, As;Total;2003;1.407
15081 Somozas, As;Total;2002;1.403
15081 Somozas, As;Total;2001;1.449
15081 Somozas, As;Total;2000;1.473
15081 Somozas, As;Total;1999;1.486
15081 Somozas, As;Total;1998;1.506
15082 Teo;Total;2021;18.778
15082 Teo;Total;2020;18.632
15082 Teo;Total;2019;18.579
15082 Teo;Total;2018;18.525
15082 Teo;Total;2017;18.478
15082 Teo;Total;2016;18.510
15082 Teo;Total;2015;18.505
15082 Teo;Total;2014;18.254
15082 Teo;Total;2013;17.942
15082 Teo;Total;2012;18.454
15082 Teo;Total;2011;18.266
15082 Teo;Total;2010;17.940
15082 Teo;Total;2009;17.807
15082 Teo;Total;2008;17.625
15082 Teo;Total;2007;17.441
15082 Teo;Total;2006;17.168
15082 Teo;Total;2005;16.809
15082 Teo;Total;2004;16.428
15082 Teo;Total;2003;16.028
15082 Teo;Total;2002;15.331
15082 Teo;Total;2001;14.894
15082 Teo;Total;2000;14.447
15082 Teo;Total;1999;14.071
15082 Teo;Total;1998;13.960
15083 Toques;Total;2021;1.101
15083 Toques;Total;2020;1.107
15083 Toques;Total;2019;1.124
15083 Toques;Total;2018;1.151
15083 Toques;Total;2017;1.173
15083 Toques;Total;2016;1.196
15083 Toques;Total;2015;1.213
15083 Toques;Total;2014;1.248
15083 Toques;Total;2013;1.265
15083 Toques;Total;2012;1.302
15083 Toques;Total;2011;1.343
15083 Toques;Total;2010;1.387
15083 Toques;Total;2009;1.405
15083 Toques;Total;2008;1.416
15083 Toques;Total;2007;1.447
15083 Toques;Total;2006;1.485
15083 Toques;Total;2005;1.512
15083 Toques;Total;2004;1.530
15083 Toques;Total;2003;1.550
15083 Toques;Total;2002;1.573
15083 Toques;Total;2001;1.628
15083 Toques;Total;2000;1.626
15083 Toques;Total;1999;1.640
15083 Toques;Total;1998;1.668
15084 Tordoia;Total;2021;3.228
15084 Tordoia;Total;2020;3.259
15084 Tordoia;Total;2019;3.299
15084 Tordoia;Total;2018;3.361
15084 Tordoia;Total;2017;3.433
15084 Tordoia;Total;2016;3.522
15084 Tordoia;Total;2015;3.591
15084 Tordoia;Total;2014;3.706
15084 Tordoia;Total;2013;3.817
15084 Tordoia;Total;2012;3.924
15084 Tordoia;Total;2011;4.168
15084 Tordoia;Total;2010;4.268
15084 Tordoia;Total;2009;4.339
15084 Tordoia;Total;2008;4.399
15084 Tordoia;Total;2007;4.467
15084 Tordoia;Total;2006;4.548
15084 Tordoia;Total;2005;4.617
15084 Tordoia;Total;2004;4.713
15084 Tordoia;Total;2003;4.841
15084 Tordoia;Total;2002;4.945
15084 Tordoia;Total;2001;5.029
15084 Tordoia;Total;2000;5.100
15084 Tordoia;Total;1999;5.106
15084 Tordoia;Total;1998;5.205
15085 Touro;Total;2021;3.495
15085 Touro;Total;2020;3.516
15085 Touro;Total;2019;3.574
15085 Touro;Total;2018;3.620
15085 Touro;Total;2017;3.693
15085 Touro;Total;2016;3.703
15085 Touro;Total;2015;3.778
15085 Touro;Total;2014;3.853
15085 Touro;Total;2013;3.919
15085 Touro;Total;2012;3.979
15085 Touro;Total;2011;4.082
15085 Touro;Total;2010;4.151
15085 Touro;Total;2009;4.230
15085 Touro;Total;2008;4.266
15085 Touro;Total;2007;4.353
15085 Touro;Total;2006;4.448
15085 Touro;Total;2005;4.532
15085 Touro;Total;2004;4.634
15085 Touro;Total;2003;4.699
15085 Touro;Total;2002;4.765
15085 Touro;Total;2001;4.825
15085 Touro;Total;2000;4.865
15085 Touro;Total;1999;4.948
15085 Touro;Total;1998;5.077
15086 Trazo;Total;2021;3.059
15086 Trazo;Total;2020;3.013
15086 Trazo;Total;2019;3.113
15086 Trazo;Total;2018;3.148
15086 Trazo;Total;2017;3.186
15086 Trazo;Total;2016;3.190
15086 Trazo;Total;2015;3.263
15086 Trazo;Total;2014;3.301
15086 Trazo;Total;2013;3.343
15086 Trazo;Total;2012;3.433
15086 Trazo;Total;2011;3.472
15086 Trazo;Total;2010;3.496
15086 Trazo;Total;2009;3.498
15086 Trazo;Total;2008;3.509
15086 Trazo;Total;2007;3.548
15086 Trazo;Total;2006;3.557
15086 Trazo;Total;2005;3.617
15086 Trazo;Total;2004;3.652
15086 Trazo;Total;2003;3.728
15086 Trazo;Total;2002;3.766
15086 Trazo;Total;2001;3.800
15086 Trazo;Total;2000;3.818
15086 Trazo;Total;1999;3.864
15086 Trazo;Total;1998;3.912
15088 Val do Dubra;Total;2021;3.816
15088 Val do Dubra;Total;2020;3.851
15088 Val do Dubra;Total;2019;3.876
15088 Val do Dubra;Total;2018;3.925
15088 Val do Dubra;Total;2017;3.931
15088 Val do Dubra;Total;2016;3.974
15088 Val do Dubra;Total;2015;4.033
15088 Val do Dubra;Total;2014;4.120
15088 Val do Dubra;Total;2013;4.136
15088 Val do Dubra;Total;2012;4.234
15088 Val do Dubra;Total;2011;4.313
15088 Val do Dubra;Total;2010;4.386
15088 Val do Dubra;Total;2009;4.423
15088 Val do Dubra;Total;2008;4.481
15088 Val do Dubra;Total;2007;4.515
15088 Val do Dubra;Total;2006;4.580
15088 Val do Dubra;Total;2005;4.605
15088 Val do Dubra;Total;2004;4.642
15088 Val do Dubra;Total;2003;4.720
15088 Val do Dubra;Total;2002;4.802
15088 Val do Dubra;Total;2001;4.874
15088 Val do Dubra;Total;2000;4.892
15088 Val do Dubra;Total;1999;5.079
15088 Val do Dubra;Total;1998;5.091
15087 Valdoviño;Total;2021;6.872
15087 Valdoviño;Total;2020;6.542
15087 Valdoviño;Total;2019;6.563
15087 Valdoviño;Total;2018;6.613
15087 Valdoviño;Total;2017;6.594
15087 Valdoviño;Total;2016;6.650
15087 Valdoviño;Total;2015;6.753
15087 Valdoviño;Total;2014;6.796
15087 Valdoviño;Total;2013;6.811
15087 Valdoviño;Total;2012;6.857
15087 Valdoviño;Total;2011;6.926
15087 Valdoviño;Total;2010;6.982
15087 Valdoviño;Total;2009;6.978
15087 Valdoviño;Total;2008;6.986
15087 Valdoviño;Total;2007;6.978
15087 Valdoviño;Total;2006;6.896
15087 Valdoviño;Total;2005;6.888
15087 Valdoviño;Total;2004;6.854
15087 Valdoviño;Total;2003;6.877
15087 Valdoviño;Total;2002;6.837
15087 Valdoviño;Total;2001;6.795
15087 Valdoviño;Total;2000;6.790
15087 Valdoviño;Total;1999;6.765
15087 Valdoviño;Total;1998;6.769
15089 Vedra;Total;2021;5.032
15089 Vedra;Total;2020;5.007
15089 Vedra;Total;2019;5.036
15089 Vedra;Total;2018;5.046
15089 Vedra;Total;2017;5.051
15089 Vedra;Total;2016;5.012
15089 Vedra;Total;2015;5.059
15089 Vedra;Total;2014;5.073
15089 Vedra;Total;2013;5.008
15089 Vedra;Total;2012;5.043
15089 Vedra;Total;2011;5.046
15089 Vedra;Total;2010;5.052
15089 Vedra;Total;2009;5.059
15089 Vedra;Total;2008;5.063
15089 Vedra;Total;2007;5.088
15089 Vedra;Total;2006;5.052
15089 Vedra;Total;2005;5.054
15089 Vedra;Total;2004;5.057
15089 Vedra;Total;2003;5.037
15089 Vedra;Total;2002;5.054
15089 Vedra;Total;2001;5.111
15089 Vedra;Total;2000;5.083
15089 Vedra;Total;1999;5.088
15089 Vedra;Total;1998;5.101
15091 Vilarmaior;Total;2021;1.219
15091 Vilarmaior;Total;2020;1.209
15091 Vilarmaior;Total;2019;1.226
15091 Vilarmaior;Total;2018;1.231
15091 Vilarmaior;Total;2017;1.249
15091 Vilarmaior;Total;2016;1.260
15091 Vilarmaior;Total;2015;1.233
15091 Vilarmaior;Total;2014;1.236
15091 Vilarmaior;Total;2013;1.247
15091 Vilarmaior;Total;2012;1.261
15091 Vilarmaior;Total;2011;1.273
15091 Vilarmaior;Total;2010;1.277
15091 Vilarmaior;Total;2009;1.294
15091 Vilarmaior;Total;2008;1.289
15091 Vilarmaior;Total;2007;1.287
15091 Vilarmaior;Total;2006;1.326
15091 Vilarmaior;Total;2005;1.343
15091 Vilarmaior;Total;2004;1.362
15091 Vilarmaior;Total;2003;1.350
15091 Vilarmaior;Total;2002;1.388
15091 Vilarmaior;Total;2001;1.398
15091 Vilarmaior;Total;2000;1.417
15091 Vilarmaior;Total;1999;1.429
15091 Vilarmaior;Total;1998;1.412
15090 Vilasantar;Total;2021;1.219
15090 Vilasantar;Total;2020;1.211
15090 Vilasantar;Total;2019;1.213
15090 Vilasantar;Total;2018;1.225
15090 Vilasantar;Total;2017;1.241
15090 Vilasantar;Total;2016;1.275
15090 Vilasantar;Total;2015;1.280
15090 Vilasantar;Total;2014;1.316
15090 Vilasantar;Total;2013;1.362
15090 Vilasantar;Total;2012;1.368
15090 Vilasantar;Total;2011;1.380
15090 Vilasantar;Total;2010;1.406
15090 Vilasantar;Total;2009;1.415
15090 Vilasantar;Total;2008;1.432
15090 Vilasantar;Total;2007;1.469
15090 Vilasantar;Total;2006;1.496
15090 Vilasantar;Total;2005;1.538
15090 Vilasantar;Total;2004;1.574
15090 Vilasantar;Total;2003;1.610
15090 Vilasantar;Total;2002;1.622
15090 Vilasantar;Total;2001;1.639
15090 Vilasantar;Total;2000;1.678
15090 Vilasantar;Total;1999;1.707
15090 Vilasantar;Total;1998;1.707
15092 Vimianzo;Total;2021;6.925
15092 Vimianzo;Total;2020;6.963
15092 Vimianzo;Total;2019;7.057
15092 Vimianzo;Total;2018;7.138
15092 Vimianzo;Total;2017;7.270
15092 Vimianzo;Total;2016;7.378
15092 Vimianzo;Total;2015;7.520
15092 Vimianzo;Total;2014;7.710
15092 Vimianzo;Total;2013;7.849
15092 Vimianzo;Total;2012;7.977
15092 Vimianzo;Total;2011;8.039
15092 Vimianzo;Total;2010;8.128
15092 Vimianzo;Total;2009;8.204
15092 Vimianzo;Total;2008;8.300
15092 Vimianzo;Total;2007;8.364
15092 Vimianzo;Total;2006;8.402
15092 Vimianzo;Total;2005;8.466
15092 Vimianzo;Total;2004;8.517
15092 Vimianzo;Total;2003;8.653
15092 Vimianzo;Total;2002;8.686
15092 Vimianzo;Total;2001;8.787
15092 Vimianzo;Total;2000;8.766
15092 Vimianzo;Total;1999;8.937
15092 Vimianzo;Total;1998;8.937
15093 Zas;Total;2021;4.384
15093 Zas;Total;2020;4.393
15093 Zas;Total;2019;4.472
15093 Zas;Total;2018;4.581
15093 Zas;Total;2017;4.671
15093 Zas;Total;2016;4.756
15093 Zas;Total;2015;4.846
15093 Zas;Total;2014;4.902
15093 Zas;Total;2013;4.983
15093 Zas;Total;2012;5.109
15093 Zas;Total;2011;5.219
15093 Zas;Total;2010;5.295
15093 Zas;Total;2009;5.385
15093 Zas;Total;2008;5.459
15093 Zas;Total;2007;5.549
15093 Zas;Total;2006;5.674
15093 Zas;Total;2005;5.780
15093 Zas;Total;2004;5.867
15093 Zas;Total;2003;5.978
15093 Zas;Total;2002;6.082
15093 Zas;Total;2001;6.160
15093 Zas;Total;2000;6.212
15093 Zas;Total;1999;6.226
15093 Zas;Total;1998;6.311
